payment_id,client_number,payment_ordered_on,payment_currency,payment_amount,gbp_payment_amount
PI1051317,100199,2019-04-21T00:00:00,CNY,2588.19,294.16
PI1225324,100441,2019-08-16T00:00:00,CNY,5637.99,642.81
PI1275136,100441,2019-10-22T00:00:00,CNY,40192.43,4429.17
PI1225323,100441,2019-10-25T00:00:00,CNY,30955.66,3515.55
PI1215283,100605,2019-08-29T00:00:00,CNY,16211.73,1829.16
PI1333741,100605,2019-11-12T00:00:00,CNY,134126.71,14850.72
PI1334856,100605,2019-11-25T00:00:00,CNY,260189.97,28808.65
PI1334918,100605,2019-11-26T00:00:00,CNY,843495.38,93393.16
PI1417569,100605,2019-12-05T00:00:00,CNY,104713.52,11699.15
PI1441443,100605,2019-12-09T00:00:00,CNY,3177.36,347.39
PI1479313,100605,2019-12-31T00:00:00,CNY,134327.33,14788.85
PI1423196,100605,2020-01-12T00:00:00,CNY,1101524.26,122709.27
PI1409751,100605,2020-01-18T00:00:00,CNY,18879.93,2074.06
PI1426004,100605,2020-02-03T00:00:00,CNY,209038.89,23250.87
PI1463847,100605,2020-03-05T00:00:00,CNY,118659.44,13092.89
PI1621328,100605,2020-04-03T00:00:00,CNY,445017.65,50733.66
PI1674908,100605,2020-05-14T00:00:00,CNY,189908.23,21250.55
PI1704500,100605,2020-05-18T00:00:00,CNY,56224.48,6470.1
PI1650306,100605,2020-05-24T00:00:00,CNY,503335.32,57157.32
PI1737544,100605,2020-06-04T00:00:00,CNY,286946.05,32713.41
PI1670928,100605,2020-06-10T00:00:00,CNY,138243.97,15349.35
PI1728385,100605,2020-06-12T00:00:00,CNY,55863.19,6325.06
PI1686232,100605,2020-06-15T00:00:00,CNY,42417.72,4815.33
PI1711632,100605,2020-06-15T00:00:00,CNY,48977.84,5558.5
PI1647502,100605,2020-06-23T00:00:00,CNY,12325.22,1406.95
PI1727487,100605,2020-06-26T00:00:00,CNY,6628.45,750.5
PI1657093,100605,2020-07-05T00:00:00,CNY,951879.32,106929.11
PI1727272,100605,2020-07-06T00:00:00,CNY,171376.79,19403.99
PI1674545,100605,2020-07-08T00:00:00,CNY,3120.65,349.2
PI1727491,100605,2020-07-11T00:00:00,CNY,226047.31,25594.02
PI1918822,100605,2020-10-11T00:00:00,CNY,166720.61,19096.91
PI1918800,100605,2020-10-20T00:00:00,CNY,153780.53,17614.7
PI1916377,100605,2020-10-20T00:00:00,CNY,467420.06,53540.36
PI1886249,100605,2020-11-02T00:00:00,CNY,494754.81,56416.02
PI1918930,100605,2020-11-06T00:00:00,CNY,20425.79,2339.66
PI1918820,100605,2020-11-24T00:00:00,CNY,151026.98,17299.3
PI1918817,100605,2020-11-30T00:00:00,CNY,694451.45,79545.54
PI1974584,100605,2020-12-01T00:00:00,CNY,103526.19,11905.93
PI1916237,100605,2020-12-02T00:00:00,CNY,38870.38,4497.84
PI1918977,100605,2020-12-08T00:00:00,CNY,4583.77,525.04
